`पूँजीगत खर्चका मूख्य क्षेत्रहरु,Estimated Budget
भौतिक पूर्वाधार र सार्वजनिक निर्वाण,809085000
वातावरण व्यवस्थापन,604700000
संचालन खर्चका मूख्य क्षेत्रहरु,402383000
तलब भत्ता भ्रमण भत्ता,353200000
"पर्ययटन तथा सम्पदा विकास""",203000000
सामाजिक विकास,191295000
शहरी विकास ,150600000
पूँजीगत सम्पत्ति निर्वाण,138235000
अन्य क्षेत्रहरु,58000000
संगठन तथा संस्थागत विकास,47000000
सेवा कार्यालय संचालन भाडा मर्मत संभार,31816000
सावां व्याज भुक्तानी ऋण र अन्य लगानी,30000000
ह्रास कट्टीआम्दानी फिर्ता र अन्य,28000000
सूचना तथा अन्तराष्ट्रिय सम्बन्ध,11796000
वित्तिय व्यवस्थापन तथा श्रोत परिचालन,9800000
कार्यालय सामान इन्धन,7367000
बिबिध खर्च,5700000
बिशेष कार्यक्रम,5000000
अन्य प्रशासनिक खर्च,4300000
